0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,32.0,9.0,94.0,38.0,100000.0,58.0,100000.0,27.0,100000.0,91.0,24.0,100000.0,98.0,4.0,27.0,65.0,84.0,92.0,85.0,92.0,45.0,98.0,37.0,42.0,16.0,100000.0,95.0,94.0,100000.0,25.0,82.0
32.0,0.0,100000.0,100000.0,100000.0,90.0,60.0,29.0,55.0,75.0,100000.0,92.0,76.0,29.0,100000.0,73.0,48.0,32.0,66.0,97.0,90.0,93.0,71.0,27.0,95.0,66.0,32.0,87.0,2.0,30.0,49.0,93.0
9.0,100000.0,0.0,61.0,100000.0,100000.0,61.0,77.0,7.0,80.0,100000.0,84.0,100000.0,52.0,8.0,28.0,83.0,4.0,41.0,67.0,24.0,69.0,24.0,33.0,64.0,56.0,48.0,100000.0,34.0,16.0,49.0,74.0
94.0,100000.0,61.0,0.0,91.0,64.0,36.0,30.0,100000.0,100000.0,100000.0,98.0,68.0,82.0,10.0,26.0,16.0,38.0,49.0,36.0,15.0,100000.0,14.0,68.0,97.0,26.0,61.0,21.0,22.0,17.0,59.0,82.0
38.0,100000.0,100000.0,91.0,0.0,3.0,100000.0,57.0,100000.0,75.0,100000.0,86.0,59.0,12.0,80.0,34.0,64.0,100000.0,92.0,100000.0,49.0,16.0,27.0,34.0,86.0,100000.0,63.0,69.0,4.0,25.0,100000.0,45.0
100000.0,90.0,100000.0,64.0,3.0,0.0,100000.0,36.0,29.0,92.0,93.0,42.0,34.0,89.0,89.0,27.0,80.0,73.0,19.0,30.0,88.0,7.0,20.0,100000.0,26.0,70.0,61.0,37.0,100000.0,58.0,54.0,76.0
58.0,60.0,61.0,36.0,100000.0,100000.0,0.0,52.0,65.0,42.0,100000.0,83.0,23.0,100000.0,73.0,74.0,85.0,8.0,62.0,33.0,38.0,5.0,96.0,40.0,10.0,61.0,85.0,81.0,62.0,7.0,1.0,100000.0
100000.0,29.0,77.0,30.0,57.0,36.0,52.0,0.0,99.0,89.0,5.0,42.0,100000.0,100000.0,100000.0,52.0,100000.0,100000.0,46.0,100000.0,49.0,54.0,30.0,63.0,51.0,100000.0,100000.0,9.0,100000.0,100000.0,100000.0,37.0
27.0,55.0,7.0,100000.0,100000.0,29.0,65.0,99.0,0.0,100000.0,69.0,58.0,100000.0,29.0,58.0,30.0,41.0,17.0,94.0,12.0,31.0,100000.0,100000.0,96.0,100000.0,42.0,80.0,89.0,80.0,74.0,100000.0,77.0
100000.0,75.0,80.0,100000.0,75.0,92.0,42.0,89.0,100000.0,0.0,100000.0,4.0,93.0,43.0,34.0,7.0,100000.0,36.0,100000.0,16.0,100000.0,53.0,73.0,100000.0,56.0,60.0,88.0,61.0,40.0,85.0,38.0,100000.0
91.0,100000.0,100000.0,100000.0,100000.0,93.0,100000.0,5.0,69.0,100000.0,0.0,54.0,16.0,96.0,10.0,83.0,100000.0,32.0,27.0,76.0,20.0,100000.0,24.0,17.0,21.0,46.0,41.0,51.0,100000.0,32.0,27.0,40.0
24.0,92.0,84.0,98.0,86.0,42.0,83.0,42.0,58.0,4.0,54.0,0.0,83.0,82.0,100000.0,65.0,90.0,29.0,82.0,12.0,36.0,3.0,28.0,100000.0,48.0,70.0,97.0,100000.0,80.0,100000.0,100000.0,64.0
100000.0,76.0,100000.0,68.0,59.0,34.0,23.0,100000.0,100000.0,93.0,16.0,83.0,0.0,30.0,37.0,65.0,26.0,52.0,91.0,41.0,44.0,1.0,61.0,90.0,67.0,29.0,52.0,43.0,76.0,3.0,100000.0,12.0
98.0,29.0,52.0,82.0,12.0,89.0,100000.0,100000.0,29.0,43.0,96.0,82.0,30.0,0.0,56.0,67.0,57.0,38.0,100000.0,30.0,86.0,100000.0,34.0,53.0,100000.0,74.0,40.0,53.0,100000.0,100000.0,15.0,70.0
